filename,dialect,voiceID,path,length
lebanese_49_2,Lebanese,b05e4aa7-8173-4f8b-9f23-9c70b11e13ba,Lebanese\lebanese_49_2.wav,5
emarati_50_9,Emarati,c790ddf0-4e71-4130-ba5e-5209d0e9f24e,Emarati\emarati_50_9.wav,5
palestinian_30_2,Palestinian,bce0d97e-d095-4f46-9208-f43a1e87b675,Palestinian\palestinian_30_2.wav,5
iraqi_35_8,Iraqi,6a7cbf3a-41fc-4b9f-9a36-85696386ffdc,Iraqi\iraqi_35_8.wav,5
emarati_63_9,Emarati,a64825a5-8255-4b0a-8cd2-9445029efc3e,Emarati\emarati_63_9.wav,5
bahraini_46_3,Bahraini,9f270e4f-ecf6-4385-ba5b-bffbd96bce30,Bahraini\bahraini_46_3.wav,5
jordanian_40_4,Jordanian,c33d69ff-d62e-490d-8d02-4a5604aa31ee,Jordanian\jordanian_40_4.wav,5
jordanian_54_6,Jordanian,1c01e308-611e-444e-af08-4434c0922252,Jordanian\jordanian_54_6.wav,5
egyptian_54_5,Egyptian,1ddfa984-770c-489b-b7ff-f7e855ae02ad,Egyptian\egyptian_54_5.wav,5
saudi_52_6,Saudi,f801687c-36a9-481b-85df-4e2749e6e2f1,Saudi\saudi_52_6.wav,5
emarati_45_1,Emarati,11358928-2d31-4b49-9f54-edca9ba2f439,Emarati\emarati_45_1.wav,5
iraqi_11,Iraqi,08c8cb6d-1dc5-4bdb-b383-76456ee3f553,Iraqi\iraqi_11.wav,6
syrian_46_6,Syrian,1a15886c-76a5-4165-8bb8-dd0b4ebcb3c8,Syrian\syrian_46_6.wav,5
saudi_16,Saudi,9d2643e4-4785-43e7-961a-20a8d2cbfc33,Saudi\saudi_16.wav,10
bahraini_66_3,Bahraini,9f270e4f-ecf6-4385-ba5b-bffbd96bce30,Bahraini\bahraini_66_3.wav,5
iraqi_49_1,Iraqi,08c8cb6d-1dc5-4bdb-b383-76456ee3f553,Iraqi\iraqi_49_1.wav,5
saudi_50_2,Saudi,9d2643e4-4785-43e7-961a-20a8d2cbfc33,Saudi\saudi_50_2.wav,5
emarati_41_6,Emarati,a64825a5-8255-4b0a-8cd2-9445029efc3e,Emarati\emarati_41_6.wav,5
jordanian_50_2,Jordanian,c33d69ff-d62e-490d-8d02-4a5604aa31ee,Jordanian\jordanian_50_2.wav,5
egyptian_18,Egyptian,1ddfa984-770c-489b-b7ff-f7e855ae02ad,Egyptian\egyptian_18.wav,5
lebanese_55_9,Lebanese,353941dc-d0f3-4488-b55b-af79f20c3f4f,Lebanese\lebanese_55_9.wav,5
emarati_40_8,Emarati,55615163-1054-43e7-a808-79e782bbcd17,Emarati\emarati_40_8.wav,5
egyptian_47_3,Egyptian,1ddfa984-770c-489b-b7ff-f7e855ae02ad,Egyptian\egyptian_47_3.wav,5
saudi_34_1,Saudi,9d2643e4-4785-43e7-961a-20a8d2cbfc33,Saudi\saudi_34_1.wav,5
palestinian_47_3,Palestinian,078338c4-7788-4371-95d4-1bbe45021113,Palestinian\palestinian_47_3.wav,5
iraqi_59_8,Iraqi,6a7cbf3a-41fc-4b9f-9a36-85696386ffdc,Iraqi\iraqi_59_8.wav,5
emarati_43_6,Emarati,a64825a5-8255-4b0a-8cd2-9445029efc3e,Emarati\emarati_43_6.wav,5
iraqi_44_3,Iraqi,08c8cb6d-1dc5-4bdb-b383-76456ee3f553,Iraqi\iraqi_44_3.wav,5
egyptian_43_7,Egyptian,1ddfa984-770c-489b-b7ff-f7e855ae02ad,Egyptian\egyptian_43_7.wav,5
palestinian_35_2,Palestinian,078338c4-7788-4371-95d4-1bbe45021113,Palestinian\palestinian_35_2.wav,5
syrian_23_4,Syrian,4effd2b5-7a1b-44f6-ac2a-d767d8b1d451,Syrian\syrian_23_4.wav,5
emarati_54_5,Emarati,55615163-1054-43e7-a808-79e782bbcd17,Emarati\emarati_54_5.wav,5
syrian_41_5,Syrian,4effd2b5-7a1b-44f6-ac2a-d767d8b1d451,Syrian\syrian_41_5.wav,5
syrian_47_5,Syrian,f920ed33-e733-4635-96f5-24d08df84644,Syrian\syrian_47_5.wav,5
syrian_41_7,Syrian,4effd2b5-7a1b-44f6-ac2a-d767d8b1d451,Syrian\syrian_41_7.wav,5
iraqi_47_6,Iraqi,08c8cb6d-1dc5-4bdb-b383-76456ee3f553,Iraqi\iraqi_47_6.wav,5
emarati_32_3,Emarati,1ccf0721-94c6-4f94-bda1-a6be1fc0299a,Emarati\emarati_32_3.wav,5
saudi_52_7,Saudi,f801687c-36a9-481b-85df-4e2749e6e2f1,Saudi\saudi_52_7.wav,5
bahraini_42_7,Bahraini,9f270e4f-ecf6-4385-ba5b-bffbd96bce30,Bahraini\bahraini_42_7.wav,5
bahraini_66_9,Bahraini,9f270e4f-ecf6-4385-ba5b-bffbd96bce30,Bahraini\bahraini_66_9.wav,5
saudi_54_5,Saudi,9d2643e4-4785-43e7-961a-20a8d2cbfc33,Saudi\saudi_54_5.wav,5
emarati_53_4,Emarati,11358928-2d31-4b49-9f54-edca9ba2f439,Emarati\emarati_53_4.wav,5
